BATTERY,1,BT1,SIL-2,NA
0R,1,C12,SM0805,Comet
2.2pF,2,C16 C17,SM0805,http://store.comet.bg/Catalogue/Product/22999/
22pF,4,C1 C4 C5 C7,SM0805,http://store.comet.bg/Catalogue/Product/23075/
1nF,1,C15,SM0805,http://store.comet.bg/Catalogue/Product/23211/
10nF,3,C10 C13 C14,SM0805,http://store.comet.bg/Catalogue/Product/23248/
100nF,12,C2 C3 C6 C8 C19 C26 C38 C39 C43 C46 C50 C52,SM0805,http://store.comet.bg/Catalogue/Product/23307/
220uF/16V,4,C21 C29 C41 C51,c_elec_6.3x4.5,
6.2-30pF,1,C27,TSC6,
6.2-30pf,1,C35,TSC6,
C,16,C9 C18 C22 C23 C24 C25 C28 C30 C31 C32 C33 C34 C37 C40 C42 C44,SM0805,
NA,1,C11,SM0805,
LED,1,D5,LED-0805,
LED,2,D7 D8,LED-0805,
DIODESCH,3,D2 D3 D4,MiniMelf,
VARICAP,1,D6,MiniMelf,
ZC931,1,D1,SOT23,
ATMEGA8-AI,1,IC1,TQFP32,
SMA,2,J1 J2,SMA,
0,3,L14 L15 L16,SM1206,
68nH,1,L2,SM1206,
10uH,4,L1 L3 L4 L5,SM1206,
10uH,1,L17,SM1206,
68uH,1,L6,SM1206,
INDUCTOR,7,L7 L8 L9 L10 L11 L12 L13,SM1206,
POWER 12V,1,P3,PINHEAD1-2,
AVR ISP,1,P1,SIL-6,
BFG135,1,Q6,SOT223,
MMBT5551,3,Q1 Q2 Q7,SOT23,
BFR93A,2,Q4 Q5,SOT23,
BCX54,1,Q3,sot89,
270,1,R23,SM0805,
300,1,R28,SM0805,
300,1,R30,SM0805,
510,1,R22,SM0805,
1k,2,R4 R12,SM0805,
1.5k,1,R11,SM0805,
2k,1,R5,SM0805,
3.9k,2,R6 R9,SM0805,
4.7k,1,R29,SM0805,
8.2k,1,R7,SM0805,
10k,6,R3 R14 R16 R19 R21 R27,SM0805,
27k,2,R8 R18,SM0805,
47k,2,R17 R20,SM0805,
100k,2,R13 R15,SM0805,
200k,1,R10,SM0805,
R,5,R1 R2 R24 R25 R26,SM0805,
10k,1,RV1,MVR34,
LM7001,1,U1,DIP-16__300,
EB-3531,1,U2,EB-3531,
78L33,1,U3,sot89,
78L05,1,U4,sot89,
7.2Mhz,1,X1,HC-18UH,
14.7456Mhz,1,X2,Q_49U3HMS,
